(664, 138)
(662, 142)
(663, 152)
(-1, -1)
(470, 29)
(460, 31)
(457, 32)
(453, 37)
(433, 64)
(422, 64)
(431, 53)
(441, 40)
(443, 35)
(450, 29)
(-1, -1)
(449, 20)
(439, 27)
(436, 33)
(431, 38)
(427, 43)
(424, 52)
(417, 58)
(413, 61)
(-1, -1)
(410, 55)
(416, 49)
(419, 46)
(423, 41)
(425, 37)
(426, 34)
(430, 30)
(-1, -1)
(389, 186)
(368, 175)
(-1, -1)
(365, 179)
(379, 187)
(-1, -1)
(379, 193)
(369, 186)
(-1, -1)
(371, 246)
(366, 248)
(-1, -1)
(355, 229)
(351, 232)
(-1, -1)
(332, 249)
(338, 249)
(-1, -1)
(334, 269)
(336, 269)
(-1, -1)
(342, 267)
(-1, -1)
(342, 273)
(-1, -1)
(475, 221)
(478, 216)
(-1, -1)
(487, 215)
(490, 210)
(-1, -1)
(466, 187)
(463, 184)
(-1, -1)
(461, 182)
(455, 178)
(-1, -1)
(433, 261)
(447, 259)
(-1, -1)
(476, 275)
(473, 272)
(469, 272)
(463, 271)
(460, 267)
(457, 264)
(456, 259)
(456, 255)
(458, 254)
(459, 252)
(459, 249)
(459, 246)
(-1, -1)
(448, 349)
(-1, -1)
(456, 350)
(-1, -1)
(419, 331)
(419, 329)
(-1, -1)
(423, 323)
(423, 319)
(-1, -1)
(422, 314)
(421, 311)
(-1, -1)
(418, 292)
(416, 286)
(-1, -1)
(495, 353)
(500, 350)
(-1, -1)
(506, 350)
(510, 347)
(-1, -1)
(511, 452)
(516, 451)
(-1, -1)
(542, 442)
(-1, -1)
(551, 475)
(-1, -1)
(552, 484)
(553, 492)
(549, 495)
(-1, -1)
(510, 502)
(507, 525)
(-1, -1)
(620, 167)
(615, 170)
(-1, -1)
(725, 201)
(727, 206)
(730, 212)
(733, 210)
(-1, -1)
(747, 211)
(755, 228)
(-1, -1)
(560, 210)
(575, 216)
