(133, 544)
(162, 555)
(204, 562)
(249, 564)
(282, 566)
(313, 578)
(331, 595)
(343, 620)
(346, 636)
(346, 659)
(339, 664)
(333, 666)
(315, 669)
(296, 666)
(307, 659)
(314, 649)
(314, 637)
(306, 620)
(297, 611)
(286, 604)
(270, 599)
(255, 595)
(236, 593)
(218, 592)
(206, 591)
(187, 589)
(177, 587)
(162, 584)
(151, 580)
(142, 576)
(134, 568)
(133, 557)
(134, 545)
(-1, -1)
(337, 269)
(352, 256)
(369, 237)
(380, 218)
(396, 240)
(394, 247)
(388, 257)
(379, 267)
(369, 276)
(364, 269)
(360, 269)
(356, 267)
(350, 269)
(346, 269)
(343, 270)
(338, 270)
